ModuleId,Change Number,Impacted Process,Change Type,Impacted Region,Change Type.1
"<Worksheet ""MIM0000049482"">",CHG0001518070,"Batch, Continuous ",Technology,EMEA,Technology
"<Worksheet ""MIM0000064010"">",CHG0002042203,"Batch, Continuous ",Technology,CEEMEA,Technology
"<Worksheet ""MIM0000061414 "">",CHG0002042167,"Batch, Continuous ",Migration,ASIA,Migration
"<Worksheet ""MIM0000063981"">",CHG0002042203,Batch,Technology,"Western Europe, CEEMEA ",Technology
"<Worksheet ""MIM0000056495"">",CHG0001829483,Batch,Technology,,Technology
"<Worksheet ""MIM0000053393"">",CHG0001711794,Batch,Technology,LATAM,Technology
"<Worksheet ""MIM0000055571"">",CHG0001798477,"Batch, ",Database,EUROPE,Database
"<Worksheet ""MIM0000062442 "">",CHG0002042193,Batch,Technology,NAM,Technology
"<Worksheet ""MIM0000063434"">",CHG0002042198,Batch,Technology,"Western Europe, CEEMEA ",Technology
"<Worksheet ""MIM0000062498 "">",CHG0002042193,"Batch, Continuous",Migration,LATAM,Migration
"<Worksheet ""MIM0000069317"">",CHG0002521162,"Batch, Continuous",Migration,CEEMEA,Migration
"<Worksheet ""MIM0000069695"">",CHG0002521162,"Batch, Continuous",Migration,CEEMEA,Migration
