ModuleId,Change Number,Impacted Process,Impacted Region,Change Type,Peer Review
"<Worksheet ""MIM0000049482"">",CHG0001518070,"Batch, Continuous ",EMEA,Completed,
"<Worksheet ""MIM0000064010"">",CHG0002042203,"Batch, Continuous ",CEEMEA,Completed,
"<Worksheet ""MIM0000061414 "">",CHG0002042167,"Batch, Continuous ",ASIA,Completed,
"<Worksheet ""MIM0000063981"">",CHG0002042203,Batch,"Western Europe, CEEMEA ",Completed,
"<Worksheet ""MIM0000056495"">",CHG0001829483,Batch,,Completed,
"<Worksheet ""MIM0000053393"">",CHG0001711794,Batch,LATAM,Completed,
"<Worksheet ""MIM0000055571"">",CHG0001798477,"Batch, ",EUROPE,Completed,
"<Worksheet ""MIM0000062442 "">",CHG0002042193,Batch,NAM,Completed,
"<Worksheet ""MIM0000063434"">",CHG0002042198,Batch,"Western Europe, CEEMEA ",Completed,
"<Worksheet ""MIM0000062498 "">",CHG0002042193,"Batch, Continuous",LATAM,Completed,
"<Worksheet ""MIM0000069317"">",CHG0002521162,"Batch, Continuous",CEEMEA,Completed,
"<Worksheet ""MIM0000069695"">",CHG0002521162,"Batch, Continuous",CEEMEA,Completed,
